#,Target,Mode,IP,"URL Rating","Domain Rating","Ahrefs Rank",Domains,"Ref domains Dofollow","Ref domains Governmental","Ref domains Educational","Ref IPs","Ref SubNets","Linked Domains","Total Backlinks","Backlinks Text","Backlinks NoFollow","Backlinks Redirect","Backlinks Image","Backlinks Frame","Backlinks Form","Backlinks Governmental","Backlinks Educational","Total Keywords","Total Traffic"
44,Zambezi.com,subdomains,,,30,4729583,817,559,0,7,581,516,34,4504,4485,1034,6,513,3,0,0,27,0,0
45,DoYourPart.com,subdomains,,,15,14614455,428,243,0,3,188,155,0,2274,2271,438,3,202,0,0,0,9,0,0
46,BitcoinProfit.app,subdomains,188.114.96.2,,27,6702497,2202,1362,2,23,1012,805,1342,10378,10260,2043,108,1449,4,0,2,77,24,67
47,SophisticatedInvestor.com,subdomains,35.237.176.22,,36,2375552,795,538,0,2,543,437,1005,2190,2182,857,7,436,0,0,0,2,1947,2507
48,fnewshub.com,subdomains,,,30,4887932,1621,892,2,11,1003,873,93,17293,16878,13915,355,703,57,0,2,299,1,69
49,Court.info,subdomains,,,5,36352065,134,34,0,0,89,80,3055,1033,1033,590,0,40,0,0,0,0,0,0
50,AudioFish.com,subdomains,,,7,29643287,575,535,1,4,631,398,8,191888,191888,56,0,2,0,0,1,96581,0,0
51,GlassyButtons.com,subdomains,15.197.204.56,,13,17631127,244,144,0,0,186,153,2,878,874,290,2,116,0,0,0,0,0,0
52,Dating-Ukraine.com,subdomains,13.248.169.48,,1.3,68213344,19,17,0,0,9,8,0,133,133,2,0,0,0,0,0,0,1,0
53,GoCars.org,subdomains,174.138.161.106,,15,14222038,4030,3890,1,4,1114,853,56,14238,14238,1404,0,12281,0,0,1,5,1453,69
54,Exporter.com,subdomains,3.33.130.190,,5,34896256,36,24,0,1,48,41,0,81,81,15,0,1,0,0,0,1,0,0
55,arathy.com,subdomains,3.33.130.190,,0.5,88709535,71,41,0,0,65,58,2,436,435,133,1,6,0,0,0,0,0,0
56,SmartFinanceClub.com,subdomains,3.33.130.190,,1.9,59153504,188,83,0,6,224,190,15,2287,2287,383,0,0,0,0,0,71,0,0
57,deisign.com,subdomains,,,26,6946734,124,110,0,0,118,79,0,13558,13554,23,4,1,0,0,0,0,0,0
58,HowToTreatHeartburn.com,subdomains,188.114.97.2,,22,9210032,1312,1224,0,3,362,315,129,3809,3809,391,0,2968,0,0,0,25,1795,429
59,TheStrikeZone.org,subdomains,35.227.194.51,,10,22529229,94,79,0,0,100,89,17,459,459,85,0,70,0,0,0,0,578,888
60,HelpingSocial.com,subdomains,15.197.210.240,,0,117631244,40,28,0,0,43,39,0,194,194,63,0,21,0,0,0,0,0,0
61,SocialMoto.com,subdomains,185.212.70.229,,0.2,101978949,29,18,0,0,41,37,80,375,374,28,0,9,0,0,0,0,0,0
62,ongge.com,subdomains,15.197.148.33,,0.2,102270640,19,16,0,0,34,28,0,661,661,4,0,0,0,0,0,0,0,0
63,GeoStellar.com,subdomains,,,32,3906197,298,236,1,1,323,269,11,3023,3020,476,3,179,0,0,7,8,3,25
64,135.org,subdomains,,,4.1,41143918,21,16,0,0,27,24,0,61,61,7,0,1,0,0,0,0,0,0
65,m829.com,subdomains,15.197.148.33,,0.1,109096442,14,10,0,0,15,15,2,72,72,12,0,2,0,0,0,0,0,0
66,raskys.com,subdomains,208.113.168.116,,4,41407651,78,59,0,0,88,78,140,597,593,89,0,38,4,0,0,0,0,0
67,IndiaBikers.com,subdomains,3.33.130.190,,3.6,43959336,43,33,0,0,53,48,1,1232,1232,18,0,0,0,0,0,0,0,0
68,ArtistMarket.com,subdomains,74.208.236.71,,2.3,54770855,69,52,0,0,89,78,0,392,391,257,0,0,0,0,0,0,0,0
69,SoundFirst.com,subdomains,,,24,8218273,272,146,0,3,244,220,30,1425,1423,388,2,28,0,0,0,17,0,0
70,SingleReel.com,subdomains,3.33.243.145,,7,29720251,87,63,0,2,107,90,0,679,675,155,4,4,0,0,0,3,0,0
71,BrideMonster.com,subdomains,3.33.243.145,,0.3,95661893,5,4,0,0,31,17,0,497,497,1,0,5,0,0,0,0,0,0
72,StoreShock.com,subdomains,198.54.120.45,,25,7786739,97,34,0,0,69,62,114,601,601,467,0,20,0,0,0,0,0,0
73,TheSafetyInstitute.org,subdomains,76.223.54.146,,29,5326065,272,237,1,1,182,159,43,7122,7122,139,0,31,0,0,2,132,6,1
74,TransferSeason.com,subdomains,162.255.119.61,,7,28502782,111,101,0,0,178,96,1,534,534,17,0,0,0,0,0,0,0,0
75,DoctorHealthcare.org,subdomains,188.114.96.2,,2.3,54338113,172,102,0,2,158,138,0,524,524,290,0,30,0,0,0,4,0,0
76,LuxeVegas.com,subdomains,,,4.7,37758202,10,7,0,1,21,18,0,404,404,4,0,0,0,0,0,1,0,0
77,MadnessMedia.net,subdomains,160.153.0.84,,18,12070415,1202,1086,0,3,561,470,151,2563,2554,272,2,1745,7,0,0,5,1837,1174
78,CreatRexEducation.com,subdomains,,,0.5,86813559,2,2,0,0,2,2,0,6,6,0,0,0,0,0,0,0,0,0
79,ModernWorld.com,subdomains,15.197.148.33,,4.6,38365020,153,87,0,1,136,126,0,582,581,132,0,4,0,0,0,2,0,0
80,aacartransport.com,subdomains,,,8,27540862,422,340,0,5,204,186,53,9524,9513,2849,11,2480,0,0,0,28,0,0
